Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
30/03/2026 14:36,3-1369,Sale,Hot Baps,10218,"Ham, egg & pineapple",,,1.000,8.00,0.00,8.00,2.00,6.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
30/03/2026 13:54,3-1368,Sale,Toasties,10226,"Ham, Cheese & Tomato",,,1.000,6.50,0.00,6.50,1.63,4.87,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
30/03/2026 13:54,3-1368,Sale,Hot Drinks - Coffee,10246,Cappuccino 10oz,,,1.000,3.80,0.00,3.80,0.57,3.23,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
30/03/2026 13:53,3-1367,Sale,Hot Drinks - Coffee,10242,Americano,,,1.000,3.00,0.00,3.00,0.45,2.55,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
30/03/2026 13:53,3-1367,Sale,Bakes and Sweets,10237,Lemon crumble slice,,,1.000,3.80,0.00,3.80,1.22,2.58,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
30/03/2026 12:28,3-1366,Sale,Hot Drinks - Coffee,10244,Latte 10oz,,,1.000,3.80,0.00,3.80,0.57,3.23,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
30/03/2026 12:28,3-1366,Sale,Drinks fridge,10022,Pepsi max,,,1.000,1.50,0.00,1.50,0.45,1.05,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
30/03/2026 12:28,3-1366,Sale,Add-ons,10288,Crisps,,,1.000,1.00,0.00,1.00,0.30,0.70,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
30/03/2026 12:26,3-1365,Sale,Hot Drinks - Coffee,10242,Americano,,,2.000,6.00,0.00,6.00,0.90,5.10,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
30/03/2026 12:26,3-1365,Sale,Hot Baps,10222,Bacon Bap,,,1.000,6.00,0.00,6.00,1.50,4.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
