Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Penkey Coffee and Gifts],Price [Penkey Coffee and Gifts],In stock [Penkey Coffee and Gifts],Low stock [Penkey Coffee and Gifts],"Modifier - ""Add ons""","Modifier - ""Syrups""","Modifier - ""Extra shots""","Modifier - ""Breakfast add ons""","Modifier - ""Add milk""","Modifier - ""Sandwich upsells""","Modifier - ""Toastie upsells""","Modifier - ""Salad add-ons""","Modifier - ""Sweet add ons""","Modifier - ""Meals add-on""","Modifier - ""Hot baps add-on's"""
sanpalagrino,10108,Sanpalagrino,Drinks fridge,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
sauces,10303,Sauces,Add-ons,,N,,,,,,,0.30,,,,N,Y,1.00,,,N,N,N,N,N,N,N,N,N,N,N
sausage-bap-2,10223,Sausage Bap,Hot Baps,,N,,,,,,,1.70,,,,N,Y,6.00,,,N,N,N,Y,N,N,N,N,N,N,Y
sausage-loaf-and-onion-chutney,10227,Sausage Loaf and Onion Chutney,Toasties,,N,,,,,,,1.63,,,,N,Y,6.50,,,Y,N,N,N,N,N,Y,N,N,N,N
sausage-roll,10180,Sausage roll,Snacks,,N,,,,,,,1.35,,,,N,Y,4.50,,,N,N,N,N,N,N,N,N,N,N,N
seasonal-fruit-crumble,10239,Seasonal Fruit Crumble,Bakes and Sweets,,N,,,,,,,1.44,,,,N,Y,4.50,,,N,N,N,N,N,N,N,N,Y,N,N
side-salad,10287,Side salad,Add-ons,,N,,,,,,,0.90,,,,N,Y,3.00,,,N,N,N,N,N,N,N,N,N,N,N
side-salad-2,10295,Side Salad,Add-ons,,N,,,,,,,1.05,,,,N,Y,3.50,,,N,N,N,N,N,N,N,N,N,N,N
side-salad-size,10232,Side Salad size,Penkey Salads,<p>Choose your salad size then add your choice of topping.</p>,N,,,,,,,1.20,,,,N,Y,4.00,,,N,N,N,N,N,N,N,Y,N,N,N
smokey-bacon-nuts,10135,Smokey Bacon Nuts,Retail food,,N,,,,,,,0.60,,,,N,Y,2.00,,,N,N,N,N,N,N,N,N,N,N,N
soap-gift,10198,Soap gift,Gifts,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
syrups-vanilla-caramel-pistachio,10285,"Syrups - Vanilla, caramel, pistachio",Add-ons,,N,,,,,,,0.15,,,,N,Y,0.50,,,N,N,N,N,N,N,N,N,N,N,N
taxi-can,10004,Taxi can,,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
